title,text,label
Kylie Jenner & Timothee Chalamet Coachella PDA Steals The Show," BAFTA 2025 Best Dressed: Selena Gomez, Ariana Grande, Demi Moore & Timothée Chalamet Steal the Show  Timothée Chalamet and Kylie Jenner’s Sizzling PDA at Berlin Film Festival Sets Social Media on Fire  #bafta 2025 Fashion Showdown: Dazzling Red Carpet Looks From Marisa Abela To Monica Barbaro | WATCH  Louis Tomlinson & Zara McDermott Spotted Living It Up In LA - Coachella To Beverly Hills Romance?  HORROR At Coachella 2025: D4VD Takes Nasty Fall On Stage | Crowd Gasped Watching This  BAFTA 2025: Kylie Jenner & Demi Moore Put ‘Snub’ Rumors to Rest After Golden Globes Buzz  Oscars 2025: Goldie Hawn Reveals Secret Health Battle in Emotional Moment | WATCH  Timothée Chalamet & Kylie Jenner’s Public PDA Sparks Backlash—Expert Breaks It Down  Does Anger Define You? Sadhvi Bhagawati Saraswati’s Eye-Opening Take  Meghan's 'Dislike' For Sentebale Boss Dr Sophie CAUGHT ON CAM; SHOCKING Clip RESURFACES  Royal Rage EXPOSED; Meghan 'Screamed' At Producers, Couldn't Stand Harry During Explosive Interview – Author Drops Bombshell Meghan Markle has an on-air meltdown during an interview, where shocking revelations were made about her relationship with Prince Harry. Author and royal expert exposes the behind-the-scenes tension, claiming Meghan ""screamed"" at producers and couldn't stand Harry’s presence during the interview. Check out the details of this royal rage, as well as the explosive bombshell dropped by the author. WATCH  Trump’s Aide SLAMS Elon Musk: “The MOST Irritating Person I’ve Ever Dealt With” | White House Drama  Kareena Kapoor Slays As Cop, Saif Ali Khan Gets 'Arrested' For Good Looks  Kyle Richards & Teddi Mellencamp Confront Dog Abuser: Reality Stars Step In After Shocking Footage Emerges  Babil Khan Opens Up About Irrfan’s Legacy: 'It Would Be Destroyed If...' | 'Logout' EXCLUSIVE  Roger Nores’ U-Turn: Why He Walked Away From Liam Payne’s Father Liam Payne’s close friend Roger Nores, once entangled in a bitter legal feud with Liam’s father Geoff, has made a shocking decision — he’s walking away from the lawsuit. After months of public blame and emotional fallout, Roger now says he’s tired, done, and wants peace. What changed? Why now? And what does this say about the pain still lingering after Liam’s tragic death? Watch the full breakdown of this sudden twist in the Payne family story.  Octavio Dotel’s Final Ride Breaks Hearts: Massiel’s Goodbye Leaves Fans Shaken  Raj Babbar Attends Producer Salim Akhtar's Last Rites  Royal DIVIDE More Obvious Than EVER As King Charles Cheers in Rome & Harry FIGHTS a Lonely Battle  Meghan Markle’s Gets REAL About SECRET Medical Scare After Childbirth In TEARFUL Revelation | WATCH  Atlanta Crash Horror: Rapper Boosie Badazz Injured In Fiery Car Accident Boosie Badazz was caught in a serious car crash in Atlanta, with graphic footage showing the aftermath—victims on the ground, screams for help, and a totaled lime green BMW. While multiple people were hospitalized, Boosie was seen shirtless and visibly shaken but unharmed. Rumors swirled that he ran a red light, but police confirmed he wasn’t the driver. Watch the full breakdown of the dramatic scene, the viral video, and what Boosie had to say.  Scientists REVIVE ‘Game of Thrones’ Predator Extinct for 10,000 Years in JAW-Dropping First | WATCH  Nightclub Horror: Dotel, Blanco & Pérez Killed In Dominican Collapse  Wamika Gabbi Adds Glamour to Celebration  Raj Kumar Gupta & Myra Karn At Trailer Launch Of Raid 2.  Prince Harry Battles Palace Over Protection; Security Case Back In Court Prince Harry is once again challenging the British government in court, pushing to restore publicly funded security for his family during their UK visits. This new appeal, now under review by three senior judges, comes after a 2023 loss in the same case. The legal fight stems from a 2020 ruling, which revoked Harry and Meghan’s royal protection after they stepped back from official duties.  Tamannaah Seeks Blessings Before Launch  Trump’s Shohei Ohtani Crush Steals The Spotlight At Dodgers Visit  Prince Andrew, Epstein Accuser VANISHES From Hospital; Virginia Giuffre’s Post-Crash Mystery UNFOLDS  Ed Shereen singning in Punjabi for the first time with diljit dosanjh  I Talk to Myself Every Day: Katy Perry Shares the Mental Journey Behind Her Space Dream  HOTD Season 3: Viserys Targaryen's 'Giant' Cameo Revealed By Paddy Considine  Epic Spider-Man x Venom Crossover Movie Soon? Tom Hardy Reveals The Truth  Hulk Hogan's Sobbing Ex-Wife Linda Calls Him a 'S#X Addict' as she Reveals Shocking Family Divide  Regé-Jean Page Reacts to James Bond Casting Buzz; His Response Might Surprise You  Robert Redford & George R.R. Martin Team Up for Unexpected TV Appearance in 'Dark Winds'  Shawn Mendes Stuns Fans by Repping Virat Kohli’s Jersey On Stage at Lollapalooza  Gene Hackman & Betsy Arakawa's Death Case Meets Eerie End, But Many Questions Remain Unanswered  Seventeen's Mingyu, Lily James & Cristin Milioti Stun at Dior’s Fall 2025 Show in Paris  BTS' Jin Kissed By 50-Year-Old Japanese Woman; Lady Summoned For Investigation  Jennie stuns with live vocals at Coachella 2025, while NCT 127’s Johnny and Doyoung show heartwarming support for mark  Kylie Jenner and Timothee Chalamet pack on the PDA at Coachella 2025; couple spotted hugging, kissing in VIRAL clips - WATCH  Coachella 2025: ‘Inedible’ food and ‘diabolical’ prices! Here’s how much you’ll spend on tacos and nachos at the music festival  Lady Gaga brings mayhem, magic, and, memories to the Coachella 2025 performance, and fashionistas are delighted!  Lady Gaga stuns at Coachella 2025 with symbolic throwbacks and surprise tributes—Did you catch these hidden clues?  Coachella 2025 delivers big with surprise collabs: Troye Sivan, Machine Gun Kelly, Brian May & more stun fans  'White Lotus' star Lisa lights up Coachella stage; co-stars Patrick Schwarzenegger and Tayme Thapthimthong cheer her on - WATCH  Brian May’s surprise Coachella entry receives an underwhelming response: Everything you need to know about the Queen legend",Real
From Antigua to Belgium: Will fugitive Mehul Choksi finally be extradited to India? - Times of India,"In no case can the surrender be made unless the crime shall be punishable according to the laws in force in both countries with regard to extradition. The TOI Business Desk is a vigilant and dedicated team of journalists committed to delivering the latest and most relevant business news from around the world to readers of The Times of India. The primary focus of the TOI Business Desk is to keep a watchful eye on the global business landscape, covering a wide spectrum of industries, markets, economic trends, in-depth analysis, exclusive reports and breaking stories that impact businesses and economies. With a mission to provide valuable insights and updates, the desk ensures that TOI readers are well-informed about the ever-changing and dynamic world of commerce and can navigate the complexities of the business world.Read More Puffin Day 2025: 8 interesting facts about these adorably colourful birds Radiant snaps of Samyuktha 8 Drinks that can reduce inflammation in summers South heroines who slay in traditional wear 8 incredible places in India to witness peacocks dance Meenakshi Chaudhary's picture-perfect moments 10 tips by Sadhguru for a happy married life 10 strict parenting rules that actually make kids better human beings 8 low-calorie desserts that actually taste good Alia Bhatt to Rashmika Mandanna: Contrasting saree-blouses approved by B-town ladies Determine the monthly installment amount for a loan Estimate the returns on investments made through SIPs Find out maturity amount and interest earned on PPF Check maturity amount and interest earned on an FD Estimate the pension amount and corpus accumulated under NPS A Mutual Fund Calculator helps estimate the future value of investments",Real
From Antigua to Belgium: Will fugitive Mehul Choksi finally be extradited to India? - Times of India,"In no case can the surrender be made unless the crime shall be punishable according to the laws in force in both countries with regard to extradition. The TOI Business Desk is a vigilant and dedicated team of journalists committed to delivering the latest and most relevant business news from around the world to readers of The Times of India. The primary focus of the TOI Business Desk is to keep a watchful eye on the global business landscape, covering a wide spectrum of industries, markets, economic trends, in-depth analysis, exclusive reports and breaking stories that impact businesses and economies. With a mission to provide valuable insights and updates, the desk ensures that TOI readers are well-informed about the ever-changing and dynamic world of commerce and can navigate the complexities of the business world.Read More National Gardening Day 2025: 10 plants and flowers that every garden should have Times Sonu Kakkar gave us solid fashion goals in ethnic wear Madhuri Dixit Nene's best ethnic looks How to make Ragi Cheela at home 10 beautiful fishes that are pink in colour Puffin Day 2025: 8 interesting facts about these adorably colourful birds Radiant snaps of Samyuktha 8 Drinks that can reduce inflammation in summers South heroines who slay in traditional wear 8 incredible places in India to witness peacocks dance Determine the monthly installment amount for a loan Estimate the returns on investments made through SIPs Find out maturity amount and interest earned on PPF Check maturity amount and interest earned on an FD Estimate the pension amount and corpus accumulated under NPS A Mutual Fund Calculator helps estimate the future value of investments",Real
"Godrej Consumer Products launches ‘Godrej Ninja’, a pet care brand in Tamil Nadu under Godrej Pet Care - Times of India",8 low-calorie desserts that actually taste good Alia Bhatt to Rashmika Mandanna: Contrasting saree-blouses approved by B-town ladies Baby girl names inspired by the sacred rivers of India Grace in every move: Hema Malini stuns in stunning Bharatanatyam attires From Ek Do Teen to Maar Dala: Madhuri Dixit's most iconic dance looks through the years Master your Vocabulary: 10 common German words to learn and their meanings From Raj Kapoor to Robert Downey Jr: actors who brought Charlie Chaplin to life Sonu Kakkar’s Top 10 Songs That Should Be On Your Playlist 8 under 200 calories breakfast options 10 plants that will flower through the heat of May-June,Real
"Godrej Consumer Products launches ‘Godrej Ninja’, a pet care brand in Tamil Nadu under Godrej Pet Care - Times of India","10 types of monkeys from across the world 10 times Princess Diana broke royal protocol with her fashion From rugged to unfiltered: Sunny Deol's rare looks redefine his screen persona Is it healthy to tie hair while sleeping? 10 short and unique names for baby girls born in 2025 10 ways to deal with a breakup, without losing yourself 9 most recent and iconic books recommended by Bill Gates 10 wild animals that are as cute as dogs and cats Alia Bhatt’s Edward to Kartik Aaryan’s Katori: Bollywood stars and their adorable pets 8 tips to control termites or 'deemak' in the wooden furniture at home",Real
Royal Mail: What made a billionaire want to buy this fading relic,"From the end of April, the 500-year-old Royal Mail will be controlled by a Czech billionaire who co-owns a football club and is a major investor in a British supermarket - so, why would he want this ailing institution? ""A pair of scissors, one empty teapot and some hot water, please."" The slightly baffled staff at Claridge's scrambled to comply with Daniel Kretinsky's breakfast order as he sanitised and moisturised his hands. The upscale hotel has been serving tea to the global elite for decades but Mr Kretinsky brought along his own packet of Chinese green tea, which he snipped open (hence the scissors) and poured into the empty pot. He was tall, perfectly groomed, steely-eyed but unfalteringly polite and thoughtful. If you told anyone in the dining room he was a billionaire, they would have no problem believing it. Known as the Czech Sphinx for his enigmatic style, Mr Kretinsky, who is 49, is worth £6bn according to the Sunday Times Rich List. He lives in plush mansions in Paris and London, was originally a lawyer and made his fortune in European energy markets. Our meeting was at Claridge's in June 2024 - I was trying to convince him to give me an interview about his audacious attempt to buy a British institution that was once seen as a national treasure: Royal Mail. His profile as a buyer was one that unions and ministers typically would be wary of because of his historic connections with Russia - his companies own a gas pipeline that has transported Russian gas to Europe. But six months on, his bid to buy Royal Mail's parent company was cleared by the UK government after he agreed ""legally binding"" undertakings.  It was agreed that the government would retain a so-called ""golden share"", requiring it to approve any major changes to Royal Mail's ownership, headquarters location and tax residency. The deal was also blessed by unions. Earlier this month, the owner of Royal Mail said that the takeover could be completed by the end of April as the deal cleared the final regulatory hurdles standing in the way. But step back and Royal Mail seems a strange target for a globally mobile oil and gas billionaire investor to set his sights on. It begs the question why would anyone, let alone a successful international entrepreneur, want to buy this faded relic? Royal Mail was founded by Henry VIII more than 500 years ago and still carries the royal cipher on its vans. It is part of the fabric of British life and many people still have a fond relationship with their 'postie', who walks down their path bringing their letters and parcels to their door. But in recent years Royal Mail's crown has slipped. It is losing money and market share, has been fined for missing delivery targets and has made an enemy of its own workforce through a series of bitter strikes. Royal Mail's letter business is in steep decline too. It has gone from a peak of 20 billion letters sent in 2004 to under seven billion sent last year.  In December 2024, it was fined £10.5m by the regulator Ofcom for failing to meet delivery targets for first and second class mail. While the boom in e-commerce has seen the volume of parcels rise, Royal Mail's share of that more profitable business has been falling as new competitors like DPD, DHL, Amazon and Evri have eaten into its market share. Royal Mail was split off from the Post Office in 2012 and privatised in 2013 at a value of £3.3bn. Its shares immediately rocketed by 38% on the first day of trading, leading to criticism - from the National Audit Office, among others - that it had been sold on the cheap. At its peak in Covid-era May 2021, the company was worth more than £6bn but had slumped to just over £2bn when Mr Kretinsky launched his takeover bid last April.  He sealed the deal at £3.6bn - 63% higher than before he signalled his intent, but barely more than it was worth at privatisation over a decade ago. ""Royal Mail is a business that has historically found it difficult to grow revenues by more than costs,"" says Alex Paterson, an analyst at Peel Hunt stockbrokers. ""It has seen its parcels market share eroded by more dynamic competition that has been able to invest more in technology, and it has struggled with industrial relations to keep staff working towards a common goal. ""This is not a challenge to underestimate nor one that can be overcome quickly, but that requires considerable long-term investment in infrastructure, technology and staff."" Part of the challenge, and one that puts Royal Mail at a disadvantage compared with its rivals, is that unlike them, Royal Mail has to meet a string of legal and regulatory obligations, says Hazel King, the editor of Parcel and Post Technology International. Under what is called the universal service obligation (USO), Royal Mail is required by law to deliver letters six days a week and parcels five days a week to every address in the UK. So it cannot pick and choose which business it wants to do. ""Royal Mail must meet their universal service obligation while trying to compete with private firms who often cherry-pick the most profitable business,"" says Ms King. Mr Kretinsky says he has a plan. His success in the energy sector allowed him to buy a 27.5% stake in Royal Mail's parent company, International Distribution Services (IDS). And his company – EP Group – intends to build a pan-European conglomerate built on three pillars: energy, retail and logistics. He sees IDS as the cornerstone of the logistics pillar, with a plan to go toe-to-toe with the likes of Deutsche Post DHL, DPD and Amazon. The USO has been under review by Ofcom, with Royal Mail hoping that the regulator will reduce the requirement to deliver second-class letters from six days a week to every other weekday. That single move could save Royal Mail £300m a year – putting it back on a break-even footing. Mr Kretinsky told me during our interview that he would honour the USO ""as long as I am alive"", but he is unsurprisingly very much in favour of changing its terms. He said he hopes that ""rational minds prevail"" when reforming a service that is unsustainable in its current form. So far, the noises from Ofcom seem to be supportive. The regulator's chief executive Dame Melanie Dawes told the BBC there were ""real questions about what the service needs to be going into the future"". Given letter numbers are falling, ""we have to think about what is economical"", she said, adding Ofcom would be publishing plans for the regulation of Royal Mail ""to make sure it is sustainable"". While Royal Mail generally welcomed the proposed changes to the Universal Service Obligation, Royal Mail pushed back against proposed new delivery time and business customer requirements. Royal Mail said last week that the level at which Ofcom is proposing to set the new delivery targets – 99.5% of First Class letters delivered within three days, and the same percentage of Second Class letters within five – is ""over specified and will add significant cost to the delivery of the Universal Service"". It also expressed concerns that proposals to add a new category of regulation to ensure timely delivery for business users like direct mail companies ""goes against the wider government drive to reduce unnecessary regulation"". But there are other factors that may have driven the sale. Some analysts have speculated that there is another jewel in the crown of IDS - and that Mr Kretinsky may really be after a different part of the business. Along with Royal Mail, IDS also owns a European parcels business called GLS which it acquired in 1999 – long before Royal Mail was split off from the Post Office and privatised.  Last year GLS made a profit of £320m, compared to Royal Mail, which lost £348m as letter volumes continued to plunge and new competitors ate into its market share of the more profitable parcels business. ""GLS has been a profitable growth business, which has seen investment whereas Royal Mail has been a perpetual underperformer, as the board of parent company IDS has invested where it thinks it will see the best returns,"" says Mr Paterson. Mr Kretinsky rejects suggestions from some quarters that he wants to break up the group and has committed to keeping it together for at least five years. Even beyond that, he says the plan is to grow the company rather than shrink it, so a disposal of GLS would be ""nonsensical"". In fact, Mr Kretinsky says he hopes to bring the European parcel know-how at GLS to bear on Royal Mail's operations. What the unions are hoping, and Kretinsky is promising, is that Royal Mail will see greater investment and over time begin to look a bit more like GLS and its European counterparts such as Deutche Post DHL. Given all the challenges Royal Mail faces, there's an obvious question - why would a billionaire want to chance his arm on turning round something that others couldn't, while up against powerful competitors? Well, if you believe as Kretinsky does - and he is surely right - that getting parcels to people is a profitable and growing industry, then buying Royal Mail and GLS gives you a way to become a big European player in logistics quickly. Add to that a powerful and historic brand, a database with every single UK address and a frontline workforce that most of its customers are fond of and pleased to see when they walk down the path - then, despite the challenges, it begins to make sense. Mr Kretinsky is convinced future growth lies in out-of-home (OOH) delivery. The parcel lockers found in supermarket car parks and elsewhere, operated by the likes of Amazon, Evri and UPS, have grown quickly across Europe. Earlier this month it was reported that Sainsbury's would be the first supermarket to partner with Royal Mail and install parcel lockers at supermarkets. Some are already operating at several stores including ones in Clapham, Kidderminster and Chislehurst. Royal Mail has also trialled a new postbox that can take small parcels. Customers procure a barcode from an app, then at the postbox they scan the barcode and drop the parcel into a drawer - this is all powered by solar panels on the box. Emma Gilthorpe, Royal Mail chief executive, called it an ""historic change"" to give postboxes ""a new lease of life"". All of this boils down to the same thing: convenience. It means customers don't have to wait at home for a delivery - the sender or parcel business emails or texts a code to unlock the locker. For the business it's more efficient, allowing couriers to deliver lots of parcels to one place - meaning fewer miles on the road and less time. ""If they can grow the parcels business and claw back market share, there is every chance that they can add new jobs that could offset the reduction in jobs in the declining letters business,"" says Mr Paterson. ""There is a significant long-term opportunity to run Royal Mail more successfully with regulatory changes to the USO and greater investment in technology and out-of-home deliveries."" But Royal Mail still has a lot of catching up to do with its competitors. It currently has 1,500 lockers in the UK and aims to grow this figure to at least 20,000 over time. By contrast, Amazon already has 5,000 lockers across the UK and InPost has 7,500 across the UK. That Mr Kretinsky has pulled off the takeover is no easy feat. Royal Mail is, after all, considered vital national infrastructure and as such the deal required review under national security laws. Then there is the fact that his companies own a gas pipeline that has transported Russian gas to Europe – paid for and approved by EU member states. The small amount that was transported was reduced to zero at the end of 2024 when Ukraine refused to renew permission for any gas to flow across its borders. Speaking in front of MPs in November, UK Business Secretary Jonathan Reynolds referred to Mr Kretinsky as a ""legitimate business figure"" whose alleged links to Russia had already been reviewed and dismissed when he became the biggest shareholder in the company two years ago. Getting the unions on board seemed even more of a challenge and the Communication Workers Union was wary of Mr Kretinsky. ""The CWU believes Royal Mail should be in public hands,"" Dave Ward, the CWU's general secretary, told the BBC in June. ""We know there are legitimate concerns about Royal Mail Group being owned by a foreign private equity investor."" But during negotiations, union representatives secured a series of time-limited commitments from him, including guarantees that he will protect Royal Mail's pension surplus, that there will be no compulsory redundancies for two years, no sell-off or break-up of any operational part of the existing company and no outsourcing of grades represented by the CWU. Mr Kretinsky also agreed to restrictions on moving dividends out of Royal Mail Group and to respect agreements with and recognition of the CWU. He said he would keep the brand name and Royal Mail's headquarters and tax residency in the UK for the next five years. Union bosses told me that a life under Mr Kretinsky ""couldn't be any worse than what we have had for the last 10 years"". So, as Mr Kretinsky looks certain to pull off the sale, what will customers notice? The frequency of second-class deliveries may be reduced after the Ofcom review. We will see new Royal Mail lockers appearing in our neighbourhoods. And the price of first-class mail may go up: second-class stamps are regulated by Ofcom, while first-class ones are not. The monarch's head will still be on those stamps, but there is a new king of our mail system. And his name is Daniel Kretinsky.  Top image credit: Getty BBC InDepth is the home on the website and app for the best analysis, with fresh perspectives that challenge assumptions and deep reporting on the biggest issues of the day. And we showcase thought-provoking content from across BBC Sounds and iPlayer too. You can send us your feedback on the InDepth section by clicking on the button below. Get our flagship newsletter with all the headlines you need to start the day. Sign up here. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  ",Real
India To Use All Legal Tools To Extradite Mehul Choksi From Belgium: Sources,"The government is aware that businessman Mehul Choksi - wanted in connection with the Rs 13,850 crore Punjab National Bank scam - was arrested in Belgium over the weekend, and is working towards a quick extradition, sources told NDTV Monday afternoon. A request to deport Mr Choksi to India has been made, sources said, stressing the government will use every legal tool available to bring him back. Should Mr Choksi - an international fugitive for over seven years now, since he fled to the US in January 2018 - be brought back to India, his will be the second high-profile extradition this year, after terrorist Tahawwur Rana, a 26/11 Mumbai attack accused, was extradited from the US. Mehul Choksi, 65, was arrested by Belgium authorities on Saturday. This was after the Belgian Foreign Ministry confirmed to NDTV that Mehul Choksi - who fled from India to the US and then to the Caribbean island nation of Antigua to avoid arrest - was in that country. The Belgian ministry told NDTV it attached ""great importance"" to the matter. NDTV Explains | Mehul Choksi Tried To Get To Switzerland. How He Was Stopped Mr Choksi is expected to mount a series of legal challenges to India's extradition request, beginning with a request for bail citing his age and medical condition; he is a cancer patient.  READ | Mehul Choksi's Lawyer On Grounds For Appeal Against Arrest ""My client is not a flight risk. He is extremely sick and is undergoing treatment for cancer,"" his lawyer, Vijay Aggarwal told reporters after the arrest. Mr Choksi and his wife, Preeti Choksi, a Belgian citizen, had been living in Antwerp after he obtained a 'residency card'. READ | ""Reasons Beyond Control"": Mehul Choksi On Why He Isn't In India Mr Choksi and his nephew, Nirav Modi - awaiting extradition from London - are wanted by the CBI and Enforcement Directorate for allegedly cheating PNB of nearly Rs 14,000 crore in 2018. READ | Who Is Mehul Choksi, Fugitive Tycoon Arrested In Belgium He fled India in 2018 and later acquired citizenship of Antigua and Barbuda. He reportedly left the island for treatment of his cancer and was, sources said, planning to move to Switzerland. Last month Antigua Foreign Minister EP Chet Greene confirmed Mr Choksi had left. NDTV is now available on WhatsApp channels. Click on the link to get all the latest updates from NDTV on your chat.  Track Latest News Live on NDTV.com and get news updates from India  and around the world",Real
Two British tourists drown near Australia's Great Barrier Reef,"Two British tourists have drowned off the coast of a popular tourist town at the southern tip of the Great Barrier Reef. A boy, 17, and a man, 46, were swept out to sea on Sunday while swimming at a beach without lifeguards in Seventeen Seventy - a town in Queensland named for the year Captain James Cook arrived in Australia. The pair were declared dead at the scene after being pulled from the water by a police rescue helicopter. An Australian man is also in a life-threatening condition after being swept out to sea, and was airlifted to hospital with serious head injuries. While police revealed that the deceased were from the UK, their names have not yet been released. ""Sunday's mission was a difficult one,"" CapRescue, the emergency rescue service that found the three men, shared on social media - adding that the deaths had occurred ""despite the best efforts of all involved"". Police say the injured Australian man was from Monto, a town about 150 kilometres inland from Seventeen Seventy. ""We're not sure whether the third person jumped into the water trying to perform a rescue,"" Surf Life Saving Queensland's Darren Everard told the Australian Broadcasting Corporation (ABC). There is only one beach patrolled by lifeguards within a 50-kilometre radius of Seventeen Seventy. Police are treating the drownings as non-suspicious and will prepare a report for the coroner. One-hundred-and-seven people drowned in Australia last year, with 25% of them born overseas, according to Royal Life Saving Australia. Australia's coastal fatalities mostly occur around creeks and headlands at high tide when ""it's chaos in the water"", Everard explained. Speaking to ABC, he encouraged tourists to ""seek local knowledge"" and swim between the flags. The BBC spoke to people in Sydney about Australia's housing crisis and what they'd like to see politicians to do help. Two people, including a teenager, were arrested after the nine-year-old was shot on a farm on Sunday. Australia's housing crisis has hit its worst point in decades, becoming a key issue in the upcoming election. It is the latest repatriation of First Nations remains by London's Natural History Museum. Australia international Ellyse Perry signs as an overseas player for Hampshire in the inaugural Women's T20 Blast. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  ",Real
"North Korea is making what could be its largest, most advanced warship ever, new satellite photos show | CNN","Follow: 
            New satellite images show what could be North Korea’s biggest warship ever – possibly more than double the size of anything in leader Kim Jong Un’s naval fleet.
     
            Images taken by independent satellite providers Maxar Technologies and Planet Labs on April 6 show the ship under construction in the water at the Nampo shipyard on North Korea’s west coast, about 60 kilometers (37 miles) southwest of the capital Pyongyang.
     
            Analysts say the pictures show ongoing construction of weapons and other internal systems of the ship, which is likely a guided-missile frigate (FFG) designed to carry missiles in vertical launch tubes for use against targets on land and sea.
     
            “The FFG is approximately 140 meters (459 feet) long, making it the largest warship manufactured in North Korea,” an analysis by Joseph Bermudez Jr. and Jennifer Jun at the Center for Strategic and International Studies said.
     
            For comparison, the US Navy’s Arleigh Burke-class destroyers are about 505 feet long and its under-construction Constellation-class frigates will be 496 feet long.
     
            The existence of the warship is not a surprise.
     
            The Kim regime has been engaged in a rapid modernization of its armed forces, developing a range of new weapons and testing intercontinental ballistic missiles that can reach almost anywhere in the United States.
     
            It’s done that despite United Nations sanctions that have puts strict limits on its access to the materials and technology to develop those weapons.
     
            But the closer ties with Russia since the beginning of the Ukraine war could be helping North Korea overcome the UN sanctions, analysts say.
     
            Kim Duk-ki, a retired South Korean admiral, said he thinks Moscow may be providing the technology for the frigate’s missile systems.
     
            Pictures of the vessel appeared in a report by state-run Korean Central Television released late last year on the ruling Workers’ Party’s end-of-year plenary session. The images showed leader Kim inspecting the ship’s construction.
     
            The images in the KCTV video show the warship could have the kind of weaponry possessed by modern navies, including vertical launch cells that could be used to fire a variety of missiles.
     
            Analysts also noted the ship seems to be set up to have phased-array radar, which can track threats and targets more quickly and accurately than previously displayed North Korean capabilities.
     
            Despite those indications of advanced warfighting abilities, analysts urged caution in making assumptions.
     
            Almost any shipbuilder can get the hull and propulsion systems right, said Carl Schuster, a former US Navy captain and Hawaii-based analyst.
     
            “However, modern warships represent an integration challenge of communications, electronics, weapons, and both electronic and acoustic sensor technologies” that is not so easily achieved, he said.
     
            In an interview with CNN in March, South Korean lawmaker Kim Byung-kee, a member of the National Assembly’s Intelligence Committee, questioned whether Pyongyang has the technical ability to build an advanced warship, or the infrastructure to support it.
     
            “Operating such a big military warship takes significant amount of budget. They not only have to build a warship, but make a team that would operate it, and it costs to operate it including the equipment and fuel. Also, one huge warship cannot go out on its own. So the question is, can North Korea afford the cost?” he said.
     
            Kim, the retired South Korean admiral, was cautious on not underestimating what the final product may look like, especially its lethality.
     
            “If North Korea equips the new frigate with the hypersonic ballistic missile it claimed to have successfully tested in January, that will cause a game changing impact in the regional security,” the former naval officer said.
     
            After reviewing the satellite images for CNN, Schuster said it’s likely a year or more of work remains before the new North Korean warship can begin sea trials.
     
            “This ship’s construction is being delayed by the lack of the superstructure, sensor and weapons systems intended for installation,” he said.
     
            North Korea’s navy has about 400 patrol combatants and 70 submarines, according to the most recent estimate from the US Defense Intelligence Agency (DIA) in a 2021 report.
     
            Though that’s a large number of vessels, most of them are old and small.
     
            Joseph Dempsey, an analyst at the International Institute for Strategic Studies, wrote in a January blog post that Pyongyang has only two principal surface combatants. Those Najin-class frigates – 1,600-ton warships dating to the early 1970s – are obsolete, he wrote.
     
            The DIA report said the North Korean navy would largely be reduced to coastal defense in any conflict with South Korea or the United States, both of which have vastly superior naval forces.
     
            But North Korean leader Kim has been pushing to modernize his naval fleet. It is also developing submarine-launched missiles and the subs to carry them.
     
            In September, Kim inspected the site for a new naval port.
     
            “Now that we are soon to possess large surface warships and submarines which cannot be anchored at the existing facilities for mooring warships, the construction of a naval base for running the latest large warships has become a pressing task,” he said at the time.
     
            Yu Yong-won, a South Korean lawmaker, said the ship under construction at the Nampo yard is only one example of Kim trying to modernize his navy.
     
            A nuclear-powered submarine is under construction at a shipyard in the North Korean port of Sinpo and another frigate or destroyer is in the works in Chongjin, Yu said.
     © 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.",Real
Nisha Rawal slams trolls over nasty comments on viral video with son: ‘Sharam aani chahiye logon ko’ - Hindustan Times," Television actor Nisha Rawal’s video with her son Kavish from Sara Arfeen’s Iftaar party recently surfaced on the internet. In the video, Kavish was seen kissing his mother’s chest while they posed for the paparazzi, which invited nasty comments from social media users. In a conversation with Instant Bollywood, Nisha gave a fitting reply to the trolls. (Also Read: Nisha Rawal accepts she has bipolar disorder: 'But I am not a psycho. I am not ashamed about it') During the Bombay Times Fashion Week in Mumbai, Nisha was asked about the comments regarding the video with her son. She responded, ""Sharam aani chahiye un logon ko jo ek maa-bete ke relationship ko uss nazariye se dekhte hain. Yeh khot unke mann mein hai, so no more comments on that. Uss baare mein kya hi bol sakte hai? (People who view a mother-son relationship in that way should be ashamed. That negativity is in their minds, so there’s nothing more to say about it. What more can be said on the matter?)""  Nisha was married to actor Karan Mehra for over nine years. However, in 2021, she accused him of physical violence, leading to Karan’s arrest on charges of assault. He was later released on bail after spending a few hours in jail. Karan then accused Nisha of having an extramarital affair. Nisha is now raising her son alone. Speaking to Pinkvilla, Nisha said she is taking all possible steps to ensure a healthy upbringing for Kavish amidst the ongoing conflict with Karan. She shared that she regularly consults therapists for guidance. “Before calling up the therapists, I check with his paediatrician if he’s in any kind of trauma or pain that I need to be aware of. He did not witness any of the major fights, but yes, he did see a bit of our banter. So, the vibes are there in the air, and the child is absorbing them. I really wanted to get into the skin of those feelings and make sure he doesn’t struggle, because this is also his story,” she said. Nisha Rawal began her acting journey in 2001 with the show Aane Wala Pal. However, she rose to fame with her role in the TV show Main Lakshmi Tere Aangan Ki. She later participated in the dance reality show Nach Baliye and appeared in other shows like Shaadi Mubarak and Meet: Badlegi Duniya Ki Reet. She was last seen in Kangana Ranaut’s reality show Lock Upp, which was won by Munawar Faruqui.   ",Real
